# ----------------------------------------
# View user engagement & retention overview
# Account: NovaTech
# Property: novatech.io - GA4
# ----------------------------------------
# 
# Start date: 20250101
# End date: 20251231
Nth day,Active users
0000,2481
0001,2185
0002,2098
0003,1132
0004,1348
0005,2395
0006,2309
0007,2450
0008,2451
0009,2218
0010,1227
0011,1132
0012,2000
0013,1762
0014,1799
0015,2007
0016,2490
0017,1118
0018,1282
0019,2098
0020,1852
0021,2017
0022,2316
0023,1952
0024,1227
0025,1282
0026,2486
0027,1932
0028,1947
0029,2328
0030,2063
0031,1286
0032,1381
0033,2040
0034,2369
0035,2100
0036,1964
0037,2529
0038,1192
0039,1086
0040,2188
0041,1973
0042,1913
0043,2546
0044,2476
0045,1182
0046,1204
0047,2434
0048,1938
0049,2044
0050,2317
0051,1747
0052,985
0053,1404
0054,2188
0055,2014
0056,1936
0057,2497
0058,2402
0059,1314
0060,1189
0061,1767
0062,2181
0063,2285
0064,2016
0065,2330
0066,1246
0067,1187
0068,2589
0069,2048
0070,2527
0071,1863
0072,1892
0073,1258
0074,919
0075,2315
0076,2250
0077,2040
0078,1666
0079,2347
0080,1283
0081,1144
0082,2083
0083,2206
0084,2007
0085,2516
0086,2003
0087,1245
0088,1363
0089,2330
0090,1719
0091,1916
0092,2298
0093,2380
0094,1329
0095,1098
0096,1801
0097,2070
0098,2373
0099,1685
0100,2269
0101,1085
0102,970
0103,1760
0104,1878
0105,2367
0106,2503
0107,2274
0108,1268
0109,1275
0110,2328
0111,1851
0112,2082
0113,1739
0114,2238
0115,1305
0116,1288
0117,2439
0118,2277
0119,2294
0120,2275
0121,1810
0122,1237
0123,1312
0124,2523
0125,2131
0126,2291
0127,2286
0128,1755
0129,956
0130,1361
0131,2139
0132,2138
0133,2308
0134,2058
0135,2431
0136,1261
0137,1317
0138,2052
0139,1818
0140,2214
0141,2489
0142,2382
0143,1268
0144,1009
0145,1885
0146,1870
0147,2182
0148,1790
0149,2274
0150,1278
0151,995
0152,1851
0153,1519
0154,1781
0155,2157
0156,1753
0157,995
0158,1209
0159,1536
0160,1702
0161,1546
0162,2063
0163,2153
0164,1047
0165,983
0166,1790
0167,1731
0168,2014
0169,1785
0170,2068
0171,1157
0172,886
0173,2086
0174,1875
0175,2126
0176,1504
0177,1925
0178,912
0179,1138
0180,1552
0181,2103
0182,1609
0183,1527
0184,2115
0185,870
0186,948
0187,2149
0188,1545
0189,1994
0190,1982
0191,2017
0192,1148
0193,1012
0194,1765
0195,1495
0196,2012
0197,2127
0198,1956
0199,977
0200,1162
0201,1506
0202,1469
0203,1815
0204,1991
0205,1614
0206,894
0207,982
0208,1697
0209,1946
0210,1760
0211,2048
0212,1907
0213,1053
0214,1163
0215,1462
0216,2044
0217,1714
0218,1546
0219,1769
0220,1006
0221,1105
0222,1886
0223,1662
0224,1470
0225,1719
0226,1692
0227,1027
0228,1186
0229,2090
0230,1889
0231,1595
0232,1654
0233,1908
0234,1177
0235,959
0236,1926
0237,1659
0238,1988
0239,1687
0240,2024
0241,940
0242,1088
0243,2305
0244,2217
0245,1964
0246,1942
0247,1798
0248,1273
0249,1104
0250,1796
0251,1835
0252,2140
0253,2326
0254,2404
0255,1442
0256,1136
0257,2200
0258,2326
0259,1933
0260,2470
0261,2113
0262,1288
0263,1202
0264,2220
0265,2212
0266,2340
0267,2278
0268,2168
0269,1311
0270,1285
0271,1887
0272,2261
0273,2516
0274,2298
0275,2288
0276,1272
0277,1281
0278,2152
0279,2032
0280,2396
0281,2351
0282,2423
0283,1168
0284,1354
0285,2234
0286,1920
0287,2471
0288,2350
0289,1961
0290,992
0291,1107
0292,2217
0293,2532
0294,2151
0295,1856
0296,2226
0297,1281
0298,1263
0299,1906
0300,2486
0301,2312
0302,1790
0303,2189
0304,1017
0305,1381
0306,1815
0307,2469
0308,2355
0309,2147
0310,1938
0311,1414
0312,1104
0313,2445
0314,1812
0315,2250
0316,2393
0317,2580
0318,973
0319,997
0320,2140
0321,1770
0322,2353
0323,2214
0324,2418
0325,1219
0326,1380
0327,1891
0328,2058
0329,1803
0330,1924
0331,1929
0332,1411
0333,1057
0334,2129
0335,2333
0336,1635
0337,1629
0338,2133
0339,957
0340,1020
0341,2013
0342,2171
0343,2102
0344,1728
0345,2038
0346,974
0347,904
0348,1784
0349,1990
0350,2130
0351,1602
0352,2016
0353,1142
0354,1140
0355,1893
0356,1680
0357,2178
0358,2355
0359,1695
0360,982
0361,1076
0362,2209
0363,1780
0364,1727
