# ----------------------------------------
# View user engagement & retention overview
# Account: NovaTech
# Property: novatech.io - GA4
# ----------------------------------------
# 
# Start date: 20260101
# End date: 20260328
Nth day,Active users
0000,1818
0001,2043
0002,964
0003,943
0004,1807
0005,2149
0006,1752
0007,2133
0008,2064
0009,963
0010,932
0011,1587
0012,1849
0013,1581
0014,2043
0015,1943
0016,864
0017,1166
0018,1845
0019,1684
0020,1779
0021,1682
0022,1596
0023,1207
0024,1015
0025,1859
0026,1972
0027,2132
0028,1980
0029,1653
0030,937
0031,920
0032,1894
0033,2015
0034,2037
0035,2090
0036,1549
0037,1181
0038,1037
0039,1544
0040,1597
0041,1973
0042,2073
0043,1607
0044,822
0045,1185
0046,2021
0047,2140
0048,2027
0049,1546
0050,1580
0051,1017
0052,883
0053,1431
0054,2034
0055,1622
0056,1997
0057,1928
0058,962
0059,1124
0060,1902
0061,1767
0062,1680
0063,1408
0064,1444
0065,774
0066,881
0067,1367
0068,2011
0069,1583
0070,1862
0071,1618
0072,781
0073,1017
0074,1435
0075,1501
0076,1587
0077,1820
0078,1463
0079,833
0080,991
0081,1618
0082,1481
0083,1823
0084,1698
0085,1978
0086,887
